item_id;pedido_id;produto_id;produto;categoria;fornecedor_id;fornecedor;quantidade;valor_unitario_tabela;desconto_pct;valor_pago_unitario;valor_pago_total
1;1;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0.05;37.9;75.8
2;2;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;2;259.9;0.03;252.1;504.2
3;2;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.08;82.71;82.71
4;3;3;Headset Gamer P2;Periféricos;5;FastHardware;2;159.9;0;159.9;319.8
5;4;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0;49.9;49.9
6;5;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0.08;625.51;625.51
7;6;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0.03;775.9;775.9
8;6;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;2;249.9;0.08;229.91;459.82
9;7;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.05;47.4;47.4
10;7;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0.1;143.91;143.91
11;7;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0.08;73.51;73.51
12;8;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.03;48.4;48.4
13;9;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
14;10;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
15;11;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.12;131.91;131.91
16;11;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;4;39.9;0;39.9;159.6
17;11;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0;259.9;259.9
18;12;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
19;13;20;"Monitor IPS 24""";Monitores;8;Brasil Monitores;1;899.9;0.03;872.9;872.9
20;13;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0.05;37.9;37.9
21;13;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0;249.9;249.9
22;14;18;Cooler para Processador;Componentes;2;Mega Componentes;2;99.9;0.08;91.91;183.82
23;15;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
24;15;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
25;15;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
26;15;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;2;249.9;0;249.9;499.8
27;16;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.1;80.91;80.91
28;16;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
29;16;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.08;45.91;45.91
30;16;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
31;17;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.05;246.9;246.9
32;17;12;HD Externo 1TB;Armazenamento;4;InfoMax Atacado;1;369.9;0;369.9;369.9
33;18;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0.08;266.71;266.71
34;19;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.08;294.31;294.31
35;20;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
36;21;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
37;22;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;4;149.9;0.03;145.4;581.6
38;22;21;"Monitor Gamer 27""";Monitores;8;Brasil Monitores;1;1599.9;0.1;1439.91;1439.91
39;23;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;3;119.9;0;119.9;359.7
40;23;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
41;23;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0;799.9;799.9
42;24;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.05;303.9;303.9
43;24;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0;679.9;679.9
44;24;18;Cooler para Processador;Componentes;2;Mega Componentes;3;99.9;0;99.9;299.7
45;25;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0;99.9;99.9
46;26;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
47;27;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;4;29.9;0.08;27.51;110.04
48;27;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0;679.9;679.9
49;27;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;2;329.9;0;329.9;659.8
50;28;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0;159.9;159.9
51;29;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.05;94.91;94.91
52;30;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0.03;174.5;174.5
