produto_id;produto;categoria;descricao;preco_venda;custo_unitario;estoque;fornecedor_id;fornecedor;ativo
1;Mouse Óptico USB;Periféricos;Mouse Óptico USB - linha periféricos;49.9;25.0;93;1;TechDistribuidora Brasil;1
2;Teclado Membrana ABNT2;Periféricos;Teclado Membrana ABNT2 - linha periféricos;89.9;48.0;26;1;TechDistribuidora Brasil;1
3;Headset Gamer P2;Periféricos;Headset Gamer P2 - linha periféricos;159.9;84.0;15;5;FastHardware;1
4;Webcam Full HD;Periféricos;Webcam Full HD - linha periféricos;199.9;112.0;106;3;Prime Eletrônicos;1
5;Mousepad Grande;Acessórios;Mousepad Grande - linha acessórios;39.9;17.0;47;3;Prime Eletrônicos;1
6;Cabo HDMI 2m;Acessórios;Cabo HDMI 2m - linha acessórios;29.9;10.0;43;3;Prime Eletrônicos;1
7;Adaptador USB-C HDMI;Acessórios;Adaptador USB-C HDMI - linha acessórios;119.9;58.0;40;3;Prime Eletrônicos;1
8;Suporte Articulado para Monitor;Acessórios;Suporte Articulado para Monitor - linha acessórios;149.9;73.0;29;7;OfficeTech Supply;1
9;SSD 240GB SATA;Armazenamento;SSD 240GB SATA - linha armazenamento;169.9;98.0;106;2;Mega Componentes;1
10;SSD 480GB SATA;Armazenamento;SSD 480GB SATA - linha armazenamento;259.9;158.0;25;2;Mega Componentes;1
11;SSD NVMe 500GB;Armazenamento;SSD NVMe 500GB - linha armazenamento;329.9;205.0;98;5;FastHardware;1
12;HD Externo 1TB;Armazenamento;HD Externo 1TB - linha armazenamento;369.9;246.0;106;4;InfoMax Atacado;1
13;Memória RAM 8GB DDR4;Componentes;Memória RAM 8GB DDR4 - linha componentes;179.9;107.0;81;2;Mega Componentes;1
14;Memória RAM 16GB DDR4;Componentes;Memória RAM 16GB DDR4 - linha componentes;319.9;198.0;23;2;Mega Componentes;1
15;Fonte 500W 80 Plus;Componentes;Fonte 500W 80 Plus - linha componentes;289.9;182.0;87;5;FastHardware;1
16;Placa de Vídeo GTX 1650;Componentes;Placa de Vídeo GTX 1650 - linha componentes;949.9;735.0;66;5;FastHardware;1
17;Processador Ryzen 5;Componentes;Processador Ryzen 5 - linha componentes;799.9;612.0;16;5;FastHardware;1
18;Cooler para Processador;Componentes;Cooler para Processador - linha componentes;99.9;46.0;15;2;Mega Componentes;1
19;"Monitor LED 21.5""";Monitores;"Monitor LED 21.5"" - linha monitores";679.9;495.0;23;8;Brasil Monitores;1
20;"Monitor IPS 24""";Monitores;"Monitor IPS 24"" - linha monitores";899.9;665.0;39;8;Brasil Monitores;1
21;"Monitor Gamer 27""";Monitores;"Monitor Gamer 27"" - linha monitores";1599.9;1190.0;41;8;Brasil Monitores;1
22;Notebook Intel i3 8GB;Notebooks;Notebook Intel i3 8GB - linha notebooks;2399.9;1980.0;76;4;InfoMax Atacado;1
23;Notebook Intel i5 8GB;Notebooks;Notebook Intel i5 8GB - linha notebooks;3199.9;2640.0;89;4;InfoMax Atacado;1
24;Notebook Ryzen 5 16GB;Notebooks;Notebook Ryzen 5 16GB - linha notebooks;3799.9;3140.0;15;4;InfoMax Atacado;1
25;Roteador Wi-Fi AC1200;Rede;Roteador Wi-Fi AC1200 - linha rede;249.9;145.0;83;6;Connect Rede;1
26;Switch 8 Portas Gigabit;Rede;Switch 8 Portas Gigabit - linha rede;189.9;103.0;37;6;Connect Rede;1
27;Placa de Rede PCIe;Rede;Placa de Rede PCIe - linha rede;79.9;37.0;103;6;Connect Rede;1
28;Repetidor Wi-Fi;Rede;Repetidor Wi-Fi - linha rede;139.9;69.0;95;6;Connect Rede;1
29;Impressora Multifuncional;Office;Impressora Multifuncional - linha office;699.9;498.0;101;7;OfficeTech Supply;1
30;No-break 600VA;Office;No-break 600VA - linha office;429.9;298.0;81;7;OfficeTech Supply;1
